Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,8.0,0.6187,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",ternyata seluruh vaksin covid yang di buat oleh sebagian negara di dunia disahkan di bandung kerennnn hidup persib
1,2.0,0.506,"temu, bayi, kontra, vaksin, desa, covid, halal, cacar, beli, adil",kalau thr pak jokowi di hibahkan buat rakyat kecil apa situ tahu kawan entah buat nambahin beli vaksin covid beli sembilan bahan pokok untuk blt dan lain-lain kan kita tidak tahu saudara laki-laki jangan lah suudzon inget semua itu di catat malaikat
2,10.0,0.775,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",wow siap menerima pujian dari ini biar masuk barang komisaris bumn tuh wong sudah gadaikan disuruh ikut vaksin sinovac ma nurut nya kok karena dulu sempat bilang vaksin sinovac sampah
3,10.0,0.4897,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",vaksin covid seperti vaksin flu atau lainnya bukan tidak bakal kena tapi imun sudah ada jadi tubuh punya benteng gejalanya bisa tidak muncul justru takut kalau kena jadi otg begitu iya mmg jadinya bagaimana iya persepsi awal vaksin covid ini yang salah digembargemborin iya stay health
4,7.0,0.9173,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",vaksin covid masih efektif melawan covid varian varian baru walaupun tidak seefektif varian lama
5,4.0,0.4583,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",aku mau bertanya tentang efisiensi vaksin covid
6,4.0,0.8485,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",min kapan vaksin covid untuk usia untuk umum mulai
7,7.0,0.6211,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",sepertinya bus tersebut sudah di vaksin corona om makanya diberi stiker
8,7.0,0.5874,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",saya mengimbau agar tidak lengah terhadap bio farma yang membuat dan mengolah bibit vaksin sinovac coba mendadak cek sistem kerjanya dari input sampai qc dan storage
9,7.0,0.3464,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",kerumunan belanja di tanah abang mungkin sekalian tes seberapa efektif vaksin sinovac
10,4.0,0.64,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",oh dan vaksin covid itu tidak buat kamu immune sama virus kamu tetap bisa kena positive cuma kurang deadly tergantung badan orang dasar bego
11,4.0,0.452,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",petani tidak mikirin capaian target masyarakat yang harus di vaksin covid tidak mikirin ketersediaan bed ruang isolasi tidak mikirin rekan nakes dn penunjang yang bertumbangan karena covid belum lagi insentif yang lambat turun sungguh tidak sebanding dengan resiko namun apa daya sudah tuntutan profesi
12,6.0,0.6374,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",selamat sore bagaimana untuk mendapatkan vaksin covid pfizer
13,1.0,0.87,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",mana sudah vaksin sinovac lagi yang belum urus lisensi ke who harus piyee
14,10.0,0.5134,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",maaf maksud saya bukan berkaitan dengan vaksin astrazeneca
15,4.0,0.8163,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",itu dia lagi vaksin covid makanya sss aahh
16,9.0,0.8485,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",yang sudah vaksin sinovac efek sampingnya apakah cuma lapar
17,4.0,0.5262,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",kita harus sadar bahwa afikasi dari vaksin sinovac hanya kata bpom apakah ini artinya antibodi yang akan terbentuk di tubuh kita kalau demikian prokes adalah sesuatu yang harus terus di jaga secara ketat
18,4.0,0.9521,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin tidak membuat seseorang langsung kebal terhadap virus yang ada tetapi vaksin mentriger agar daya imun seseorang meningkat sedangkan vaksin covid gratis tidak satupun yang dipungut biaya selama mengikuti prosedur yang ada
19,6.0,0.5567,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",pt bio farma telah menyiapkan juta hingga juta dosis vaksin covid pada bulan mei
20,4.0,0.4795,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",umi di desa lebak gowah apa tidak ada vaksin covid untuk masyarakatnya sdg mayoritas penduduk perantau jakarta sering hilir mudik pulkam loh
21,9.0,0.5244,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",misalkan merek vaksin covid antara vaksin pertama sm kedua beda ada efek tidak si
22,4.0,0.8987,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",covid menyerang tiongkok akhirnya ekspor vaksin covid menyerang indihe
23,0.0,0.3091,"mudah, depok, lancar, ujung, kategori, ih, sasar, diagnosis, johnson, jasa",min mau tanya kemarin ada ikut layanan vaksin covid tapi kemarin ada berhalangan apa bisa ikut lagi masih punya voucher tiketnya
24,4.0,0.654,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",bukan dia salah vaksin harusnya vaksin covid eh bahkan vaksin cebong
25,4.0,0.7727,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin covid maksudnya
26,8.0,0.5784,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",dia korban efek samping pasca suntik vaksin covid dr pemerintah yang skrng yang masuk ke tubuhnya bukan vaksi covid sebenarnya tapi vaksin kedunguan kedunguan yang di lemahkan ternyata bermutasi di dalam tubuhnya dan jadi aktif jadilan varian virus baru yaitu di nyallain
27,5.0,0.487,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",bunga tidur kali ini disuntik vaksin sinovac di tangan kiri tanpa rasa sakit sama sekali
28,8.0,0.8485,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",jadi untuk apa vaksin covid jika sesudah divaksin x tetap bisa terinfeksi covid juga
29,7.0,0.4898,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",mimpi di suntik vaksin covid tapi di korea selatan lah jauh amaat kakak mimpinya
30,4.0,0.9431,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",yaelah vaksin covid beserta swabnya saja masih ada di kemvil yang notabene public space non health wkwkwkwk sudah kaya dagelan ini negara
31,4.0,0.692,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",negara bukan milik mbah aku tapi juga bukan milik mbah mu maka nya buat yang anti vaksin covid berani tidak buat surat pernyataan tidak akan ditanggung biaya rumah sakit jika bergejala berat biaya rs bayar sendiri berani tidak
32,4.0,0.601,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",kongkek tukar pasangan tidak pakai perlindungan tidak takut kesan sampingan vaksin covid takut butoh pak hang
